Cargo,GRUPO EMPRESA,Matricula,Idade,Estado,Classif. Salário,Situação,Tempo de Empresa,Vale Aliment.,Vale Refei.,Vale Transp.,Qtd. Dependentes,Conv. Médico,Conv. Odonto,Qtd. Promoções
LIDER DE LIMPEZA,EMPRESA B,B00020,39,SP,Alto,1,"8,54","0,0","0,0","1,0","1,0","1,0","0,0","0,0"
PEDREIRO,EMPRESA C,C03992,39,MG,Alto,1,"0,05","0,0","1,0","0,0","1,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07319,39,SP,Alto,1,"0,05","1,0","1,0","1,0","3,0","0,0","0,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA C,C03993,39,SP,Alto,1,"0,05","0,0","1,0","0,0","3,0","0,0","0,0","1,0"
ELETR. MANUTENCAO JR,EMPRESA C,C03935,39,SP,Alto,1,"0,16","0,0","1,0","1,0","1,0","0,0","0,0","0,0"
SOLDADOR PL,EMPRESA C,C03924,39,SP,Alto,1,"0,18","0,0","1,0","0,0","1,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B07170,39,SP,Alto,1,"0,19","1,0","1,0","1,0","0,0","0,0","0,0","0,0"
AUX SERV GERAIS,EMPRESA B,B06903,39,MG,Alto,1,"0,48","1,0","1,0","1,0","3,0","1,0","0,0","1,0"
ELETR. MANUTENCAO PL,EMPRESA C,C03692,39,SP,Alto,1,"0,63","0,0","1,0","0,0","5,0","0,0","1,0","0,0"
SUPERVISOR,EMPRESA C,C03655,39,SP,Alto,1,"0,63","0,0","1,0","0,0","2,0","1,0","1,0","0,0"
TECNICO ELETROTECNIC,EMPRESA C,C03630,39,SP,Alto,1,"0,66","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
TECNICO MECANICA,EMPRESA C,C03616,39,SP,Médio,1,"0,72","0,0","1,0","0,0","0,0","0,0","1,0","0,0"
ARTIFICE CIVIL,EMPRESA C,C03536,39,SP,Alto,1,"0,98","0,0","1,0","0,0","1,0","0,0","1,0","2,0"
COORD OPERACIONAL,EMPRESA C,C03494,39,SP,Alto,1,"1,11","0,0","1,0","0,0","1,0","1,0","1,0","0,0"
ARTIFICE CIVIL,EMPRESA C,C03477,39,SP,Alto,1,"1,16","0,0","1,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A08216,39,GO,Alto,1,"1,2","1,0","1,0","0,0","3,0","1,0","1,0","1,0"
AJUDANTE LIMPEZA,EMPRESA B,B05885,39,SP,Alto,1,"1,52","1,0","1,0","1,0","2,0","1,0","1,0","0,0"
OFICIAL DE MANUTENCAO,EMPRESA C,C03102,39,SP,Alto,1,"1,88","0,0","1,0","0,0","1,0","0,0","1,0","1,0"
AUX LIMP LABORATORIO,EMPRESA B,B04956,39,SP,Alto,1,"2,6","1,0","1,0","1,0","2,0","1,0","1,0","0,0"
ELETR. MANUTENCAO JR,EMPRESA C,C02614,39,SP,Alto,1,"2,71","0,0","1,0","0,0","3,0","0,0","0,0","0,0"
ANALISTAS ADM PESS. PL,EMPRESA A,A04816,39,SP,Alto,1,"2,84","0,0","1,0","0,0","0,0","1,0","1,0","2,0"
SOLDADOR PL,EMPRESA A,A04184,39,SP,Alto,1,"3,35","0,0","1,0","0,0","0,0","0,0","0,0","1,0"
LIDER DE LIMPEZA,EMPRESA B,B03732,39,SP,Alto,1,"3,53","0,0","1,0","0,0","1,0","0,0","0,0","1,0"
COORD OPERACIONAL,EMPRESA A,A03702,39,SP,Alto,1,"3,71","0,0","1,0","0,0","2,0","1,0","0,0","5,0"
ELETROMECANICO PL,EMPRESA C,C02126,39,SP,Alto,1,"3,75","0,0","1,0","0,0","1,0","0,0","0,0","1,0"
ENCARREGADO PL,EMPRESA A,A02792,39,SP,Alto,1,"4,53","1,0","1,0","1,0","0,0","1,0","1,0","1,0"
OFICIAL DE MANUTENCAO,EMPRESA C,C00898,39,ES,Alto,1,"5,95","0,0","1,0","1,0","1,0","1,0","1,0","1,0"
TELHADISTA,EMPRESA C,C00351,39,SP,Alto,1,"6,16","0,0","1,0","0,0","2,0","0,0","0,0","1,0"
TELHADISTA II,EMPRESA C,C00293,39,SP,Alto,1,"6,37","0,0","1,0","0,0","2,0","1,0","1,0","1,0"
ENCARREGADO,EMPRESA A,A11621,40,MG,Alto,1,"-0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
CALDEIREIRO PL,EMPRESA A,A11557,40,SP,Alto,1,"0,01","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
SOLDADOR TUBULACAO,EMPRESA A,A11540,40,RJ,Alto,1,"0,02","0,0","0,0","0,0","3,0","0,0","0,0","0,0"
SOLDADOR,EMPRESA A,A11490,40,MG,Médio,1,"0,03","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
TEC EM SEGURANCA PL,EMPRESA A,A11503,40,SP,Alto,1,"0,03","0,0","0,0","0,0","1,0","0,0","1,0","0,0"
ELETR. MANUTENCAO PL,EMPRESA A,A11483,40,RS,Alto,1,"0,04","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA C,C03972,40,SP,Alto,1,"0,1","0,0","0,0","0,0","1,0","0,0","0,0","0,0"
MECANICO JR,EMPRESA A,A11330,40,MG,Médio,1,"0,11","1,0","0,0","0,0","1,0","1,0","1,0","0,0"
